order_date,country,sales
2014-03-04,ANNEXIA,3
2014-03-05,ANNEXIA,3
2014-03-05,DELTORA,3
2014-03-06,FAKEISTAN,215
2014-03-07,NEVORUSS,11
2014-03-08,FAKEISTAN,251
2014-03-07,DELTORA,5
2014-03-11,FAKEISTAN,195
2014-03-11,NEVORUSS,22
2014-03-13,NEVORUSS,9
2014-03-16,ISLANDIA,11
2014-03-18,ANNEXIA,6
2014-03-18,DELTORA,13
2014-03-21,DELTORA,4
2014-03-22,PALOMBIA,7
2014-03-23,ISLANDIA,11
2014-03-23,NUMBANI,3
2014-03-28,NEVORUSS,15
2014-03-29,DELTORA,5
2014-03-29,NEVORUSS,25
2014-03-30,DELTORA,9
2014-03-31,FAKEISTAN,161
2014-04-02,FAKEISTAN,182
2014-04-04,FAKEISTAN,240
2014-04-05,PALOMBIA,5
2014-04-09,FAKEISTAN,253
2014-04-07,PALOMBIA,8
2014-04-11,PALOMBIA,4
2014-04-12,NEVORUSS,14
2014-04-12,ISLANDIA,9
2014-04-16,FAKEISTAN,206
2014-04-16,ISLANDIA,6
2014-04-17,ISLANDIA,5
2014-04-18,SPOTLAND,6
2014-04-18,NUMBANI,2
2014-04-19,NUMBANI,3
2014-04-20,FAKEISTAN,252
2014-04-21,NEVORUSS,28
2014-04-23,ISLANDIA,7
2014-04-24,FAKEISTAN,226
2014-04-27,FAKEISTAN,350
2014-04-27,ISLANDIA,13
2014-04-28,PALOMBIA,12
2014-04-28,DELTORA,12
2014-04-29,PALOMBIA,15
2014-04-30,FAKEISTAN,320
2014-05-02,FAKEISTAN,291
2014-05-02,NEVORUSS,18
2014-05-02,ANANA,12
2014-05-02,DELTORA,6
2014-05-03,FAKEISTAN,205
2014-05-03,ANANA,16
2014-05-03,NEVORUSS,17
2014-05-04,ANANA,20
2014-05-04,SPOTLAND,13
2014-05-04,ISLANDIA,13
2014-05-06,FAKEISTAN,143
2014-05-06,ANNEXIA,3
2014-05-08,NEVORUSS,14
2014-05-09,SPOTLAND,8
2014-05-11,FAKEISTAN,244
2014-05-11,DELTORA,11
2014-05-11,NEVORUSS,30
2014-05-13,ANNESIA,11
2014-05-15,ANNEXIA,3
2014-05-17,DELTORA,8
2014-05-17,NEVORUSS,14
2014-05-18,FAKEISTAN,274
2014-05-19,SPOTLAND,13
2014-05-20,ISLANDIA,15
2014-05-20,SPOTLAND,18
2014-05-22,ANNESIA,4
2014-05-23,DELTORA,6
2016-10-17,ANANA,865
2016-10-17,BOMBIA,198
2016-10-17,CATAN,273
2016-10-17,COMBIA,141
2016-10-17,COSIA,118
2016-10-17,FINESIA,49
2014-05-26,ANNEXIA,5
2014-05-27,ANNEXIA,5
2014-05-29,FAKEISTAN,369
2014-05-29,ANANA,37
2014-05-29,NEVORUSS,18
2014-05-29,DELTORA,9
2014-05-30,NUMBANI,5
2014-05-30,ISLANDIA,12
2014-06-01,FAKEISTAN,274
2014-06-01,ISLANDIA,16
2014-06-01,ANANA,65
2014-06-04,ANNESIA,5
2014-06-05,FAKEISTAN,233
2014-06-04,PALOMBIA,5
2014-06-05,DELTORA,5
2016-10-18,ANANA,743
2016-10-18,IRAMBIA,131
2016-10-18,FINESIA,31
2016-10-18,MALADIA,116
2014-06-05,NEVORUSS,16
2014-06-05,ANANA,36
2014-06-07,PALOMBIA,5
2014-06-08,ANANA,61
2014-06-08,NEVORUSS,31
2014-06-10,NUMBANI,9
2014-06-10,SPOTLAND,14
2014-06-10,ISLANDIA,16
2014-06-11,NEVORUSS,15
2014-06-12,FAKEISTAN,219
2014-06-12,DELTORA,7
2014-06-16,FAKEISTAN,245
2014-06-13,PALOMBIA,5
2014-06-14,ANNESIA,9
2014-06-15,NEVORUSS,38
2014-06-15,ANNEXIA,3
2014-06-15,DELTORA,11
2014-06-16,ANANA,76
2014-06-17,NUMBANI,6
2014-06-17,PALOMBIA,8
2014-06-18,FAKEISTAN,241
2014-06-18,NEVORUSS,13
2014-06-19,SPOTLAND,7
2014-06-19,ISLANDIA,10
2014-06-20,ANANA,42
2014-06-20,NEVORUSS,17
2014-06-21,NUMBANI,3
2014-06-21,SPOTLAND,8
2014-06-22,ISLANDIA,14
2014-06-23,FAKEISTAN,219
2014-06-23,ANANA,70
2014-06-24,NUMBANI,8
2014-06-24,PALOMBIA,11
2014-06-27,PALOMBIA,5
2014-06-27,ISLANDIA,9
2014-06-28,SPOTLAND,11
2014-06-29,ANANA,79
2014-06-29,NEVORUSS,34
2014-06-30,ISLANDIA,21
2014-06-30,NUMBANI,8
2014-06-30,SPOTLAND,14
2014-07-01,ANANA,91
2014-07-01,ANNEXIA,5
2014-07-01,NEVORUSS,47
2014-07-02,ANNESIA,6
2014-07-02,PALOMBIA,6
2014-07-03,NUMBANI,4
2014-07-06,FAKEISTAN,353
2014-07-06,DELTORA,8
2014-07-06,ANNEXIA,5
2014-07-08,SPOTLAND,21
2014-07-08,ISLANDIA,23
2014-07-09,PALOMBIA,5
2014-07-10,ANANA,43
2014-07-10,DELTORA,7
2014-07-12,ANANA,54
2014-07-12,DELTORA,8
2014-07-12,NEVORUSS,17
2014-07-13,NEVORUSS,26
2014-07-14,PALOMBIA,9
2014-07-15,ANANA,93
2014-07-15,FAKEISTAN,247
2014-07-15,NEVORUSS,34
2014-07-16,NEVORUSS,20
2014-07-16,ANNEXIA,2
2014-07-17,ISLANDIA,9
2014-07-22,ANNESIA,16
2014-07-22,DELTORA,10
2014-07-23,ISLANDIA,13
2014-07-24,FAKEISTAN,293
2014-07-24,NEVORUSS,17
2014-07-24,ANANA,46
2014-07-25,NEVORUSS,20
2014-07-25,ANNEXIA,1
2014-07-27,ANANA,81
2014-07-27,ISLANDIA,24
2014-07-28,ANANA,94
2014-07-29,ANANA,108
2014-07-31,NEVORUSS,19
2014-07-31,DELTORA,9
2014-08-01,ANANA,57
2014-08-02,ANNESIA,11
2014-08-03,DELTORA,12
2014-08-06,FAKEISTAN,294
2014-08-03,ANNESIA,16
2014-08-04,PALOMBIA,5
2014-08-05,ANNESIA,14
2014-08-06,ANANA,54
2014-08-06,ISLANDIA,12
2014-08-08,ANNESIA,21
2014-08-09,ISLANDIA,13
2016-10-19,ANNESIA,591
2016-10-19,MALAGUAY,140
2016-10-19,MALERIA,38
2014-08-10,NUMBANI,7
2014-08-11,ANANA,83
2014-08-12,ANNEXIA,7
2014-08-12,NEVORUSS,39
2014-08-12,DELTORA,14
2014-08-13,ANANA,55
2014-08-13,NEVORUSS,20
2014-08-14,FAKEISTAN,294
2014-08-14,ANANA,48
2014-08-15,SPOTLAND,6
2014-08-16,ANNESIA,24
2014-08-17,ANNESIA,35
2014-08-19,NEVORUSS,43
2014-08-19,ANNEXIA,6
2014-08-21,ANNESIA,23
2014-08-22,DELTORA,11
2014-08-22,ANNESIA,25
2014-08-22,ANNEXIA,4
2014-08-23,ANNESIA,27
2014-08-23,ANNEXIA,3
2014-08-24,PALOMBIA,14
2014-08-25,ANNESIA,37
2014-08-25,DELTORA,17
2014-08-26,PALOMBIA,11
2014-08-27,MALISTAN,10
2014-08-27,ANANA,92
2014-08-27,ANNEXIA,2
2014-08-28,ANNESIA,11
2014-08-28,PALOMBIA,11
2014-08-29,ANNESIA,15
2014-08-30,ANNESIA,19
2014-08-31,FAKEISTAN,403
2014-08-31,NEVORUSS,34
2014-09-01,ISLANDIA,34
2016-10-20,NEVORUSS,432
2016-10-20,BOMBIA,146
2013-10-25,ANNEXIA,3
2013-11-04,ANNEXIA,7
2013-11-07,PALOMBIA,5
2013-11-13,NUMBANI,2
2013-11-17,ANNEXIA,6
2013-11-21,ISLANDIA,5
2013-12-01,PALOMBIA,8
2013-12-09,DELTORA,20
2013-12-19,DELTORA,8
2013-12-19,ANNEXIA,5
2014-01-02,DELTORA,11
2014-01-03,ANNEXIA,3
2014-01-10,NEVORUSS,17
2014-01-14,DELTORA,13
2014-01-22,PALOMBIA,4
2014-01-25,ANNEXIA,2
2014-01-25,DELTORA,9
2014-01-26,ANNEXIA,5
2014-02-07,ANNEXIA,2
2014-02-13,NEVORUSS,15
2014-02-15,ISLANDIA,3
2014-02-16,ANNEXIA,3
2014-02-20,PALOMBIA,1
2014-02-22,NEVORUSS,5
2014-02-22,DELTORA,3
2014-02-26,DELTORA,2
2014-03-13,ANNEXIA,1
2014-03-19,NEVORUSS,9
2014-03-25,PALOMBIA,7
2014-03-27,PALOMBIA,5
2014-03-28,ANNEXIA,2
2014-04-02,ANNEXIA,5
2014-04-03,ISLANDIA,7
2014-04-04,ISLANDIA,5
2014-04-10,NUMBANI,3
2014-04-15,ISLANDIA,15
2014-04-15,SPOTLAND,6
2014-04-16,NEVORUSS,9
2014-04-25,PALOMBIA,9
2014-05-03,ANNEXIA,2
2014-05-13,NUMBANI,4
2014-05-14,NUMBANI,1
2014-05-15,DELTORA,6
2014-05-16,ANNESIA,6
2014-05-20,NUMBANI,5
2014-05-22,PALOMBIA,5
2014-05-22,NUMBANI,2
2014-05-26,ANNESIA,10
2014-05-30,SPOTLAND,7
2014-06-03,ANNEXIA,4
2014-06-03,DELTORA,15
2014-06-04,NUMBANI,2
2014-06-06,SPOTLAND,6
2014-06-14,DELTORA,6
2014-06-24,SPOTLAND,15
2014-06-26,ANNESIA,6
2014-07-05,PALOMBIA,3
2014-07-08,PALOMBIA,11
2014-07-10,ANNESIA,7
2014-07-13,ANNEXIA,2
2014-07-18,SPOTLAND,10
2014-07-19,SPOTLAND,12
2014-07-21,DELTORA,10
2014-07-25,DELTORA,7
2014-07-29,SPOTLAND,23
2014-07-30,SPOTLAND,7
2014-08-07,NUMBANI,3
2016-10-20,MANIA,113
2016-10-20,DELTORA,126
2014-08-08,PALOMBIA,4
2014-08-15,NUMBANI,5
2016-10-20,MONDOR,171
2016-10-20,COSIA,77
2016-10-20,MONICA,56
2014-09-01,SPOTLAND,11
2014-09-02,NUMBANI,12
2014-09-04,ANNESIA,23
2014-09-04,CATAN,1
2014-09-04,DELTORA,10
2014-09-05,ANNESIA,21
2014-09-05,DELTORA,11
2014-09-06,MONICA,7
2014-09-07,NEVORUSS,44
2014-09-07,MONICA,8
2016-10-20,COMBIA,106
2014-09-08,SPOTLAND,8
2014-09-09,NUMBANI,9
2014-09-09,ISLANDIA,34
2014-09-10,PALOMBIA,14
2014-09-12,FAKEISTAN,375
2014-09-11,SPOTLAND,10
2014-09-11,PALOMBIA,9
2014-09-11,NUMBANI,8
2014-09-12,ANANA,62
2014-09-12,CATAN,3
2014-09-13,ANNESIA,37
2014-09-13,COSIA,5
2014-09-14,FAKEISTAN,475
2014-09-14,MONICA,11
2014-09-14,MALISTAN,13
2014-09-15,NUMBANI,12
2014-09-15,PALOMBIA,12
2014-09-15,NADIA,17
2014-09-16,FAKEISTAN,424
2014-09-16,ANANA,121
2014-09-16,ISLANDIA,38
2014-09-17,ANANA,74
2014-09-18,MONICA,8
2014-09-18,COSIA,4
2014-09-19,SPOTLAND,12
2016-10-23,FAKEISTAN,6687
2014-09-20,PALOMBIA,13
2014-09-20,NADIA,20
2014-09-20,NEONIA,4
2014-09-21,CATAN,4
2014-09-21,MALISTAN,8
2014-09-22,FAKEISTAN,474
2014-09-22,ANANA,116
2014-09-22,MALADIA,17
2014-09-23,NUMBANI,16
2014-09-23,SPOTLAND,22
2014-09-24,ANNESIA,41
2016-10-21,PANADA,81
2016-10-21,NEONIA,67
2014-09-24,PALOMBIA,11
2014-09-24,NEONIA,3
2014-09-25,ANNESIA,39
2014-09-26,MONICA,9
2014-09-26,NEVORUSS,50
2014-09-26,COSIA,3
2014-09-27,PALOMBIA,15
2014-09-27,NADIA,19
2014-09-27,SAINT REPUBLIC,19
2014-09-27,SPOTLAND,9
2014-09-28,FAKEISTAN,615
2014-09-28,NEVORUSS,68
2014-09-28,ANANA,115
2014-09-28,CATAN,4
2014-09-28,MALADIA,24
2014-09-29,SPOTLAND,20
2014-09-29,NEONIA,10
2014-09-29,PALOMBIA,14
2014-09-29,NUMBANI,17
2014-09-29,NADIA,23
2014-09-30,ANANA,117
2014-10-01,MALISTAN,9
2014-10-02,FAKEISTAN,463
2014-10-02,ISLANDIA,29
2014-10-02,SAINT REPUBLIC,26
2014-10-02,SODOR,10
2014-10-02,NADIA,15
2014-10-02,SUYA,32
2014-10-03,SWINA,19
2014-10-03,SAINT REPUBLIC,24
2014-10-03,ANANA,81
2014-10-03,ISLANDIA,28
2014-10-03,SPOTLAND,11
2014-10-05,ANNESIA,78
2014-10-05,BOMBIA,10
2014-10-05,PANADA,13
2016-10-22,SWINA,113
2016-10-22,PALOMBIA,251
2016-10-22,NUMBANI,74
2014-10-06,NEVORUSS,77
2014-10-06,DELTORA,25
2014-10-06,ANNEXIA,7
2014-10-06,COMBIA,26
2014-10-07,ANANA,148
2014-10-07,MALADIA,28
2014-10-07,MALISTAN,11
2014-10-08,SUYA,21
2014-10-08,TAILAND,9
2014-10-08,ISLANDIA,46
2014-10-08,SPOTLAND,7
2014-10-08,NADIA,17
2014-10-08,MALERIA,7
2014-10-08,PALOMBIA,14
2014-10-09,DELTORA,14
2014-10-09,MONICA,12
2014-10-10,SUYA,39
2014-10-10,ISLANDIA,40
2014-10-10,TASIA,11
2014-10-10,MALERIA,7
2014-10-11,MALADIA,36
2014-10-11,SUYA,32
2014-10-11,ISLANDIA,43
2014-10-11,SWINA,16
2014-10-11,SODOR,10
2014-10-11,TAILAND,9
2014-10-11,TASIA,14
2014-10-12,MALISTAN,11
2014-10-13,PANADA,17
2014-10-13,ANNESIA,91
2014-10-13,COSIA,19
2014-10-14,FAKEISTAN,616
2014-10-14,ISLANDIA,62
2014-10-14,TASIA,12
2014-10-14,NADIA,26
2014-10-14,SAINT REPUBLIC,38
2014-10-14,SODOR,15
2014-10-14,SPOTLAND,21
2014-10-14,TAILAND,13
2014-10-14,MALERIA,15
2014-10-15,TASIA,12
2014-10-15,SWINA,11
2014-10-15,NUMBANI,7
2014-10-15,TAILAND,18
2014-10-16,ANNESIA,53
2014-10-16,PANADA,12
2014-10-16,COMBIA,18
2014-10-16,COSIA,9
2014-10-18,NEVORUSS,50
2014-10-18,ANANA,84
2014-10-18,COSIA,9
2014-10-18,COMBIA,16
2014-10-18,ANNEXIA,2
2014-10-19,FAKEISTAN,748
2014-10-19,ISLANDIA,60
2014-10-19,TAILAND,35
2014-10-19,TASIA,16
2014-10-20,FAKEISTAN,564
2014-10-19,SAINT REPUBLIC,37
2016-10-23,SUYA,199
2016-10-23,MALADIA,149
2016-10-23,MALERIA,54
2016-10-23,SPOTLAND,260
2016-10-23,TASIA,116
2016-10-23,IRAMBIA,174
2016-10-23,SODOR,135
2014-10-20,MONICA,23
2014-10-20,DELTORA,25
2014-10-20,COSIA,19
2014-10-21,ANANA,149
2014-10-21,ISLANDIA,62
2014-10-21,TAILAND,31
2014-10-21,TASIA,12
2014-10-22,NADIA,20
2014-10-22,ANNESIA,55
2014-10-22,PALOMBIA,17
2014-10-22,NEONIA,5
2014-10-22,PANADA,9
2014-10-23,NEVORUSS,66
2014-10-23,COSIA,7
2014-10-23,MALISTAN,10
2014-10-24,NEONIA,6
2014-10-25,SUYA,27
2014-10-25,PALOMBIA,19
2014-10-25,SWINA,11
2014-10-25,ISLANDIA,53
2014-10-25,MALERIA,6
2014-10-25,NADIA,14
2014-10-26,ANANA,187
2014-10-26,SAINT REPUBLIC,34
2014-10-26,ISLANDIA,64
2014-10-27,ANNESIA,89
2014-10-27,ANNEXIA,11
2014-10-27,COMBIA,31
2014-10-27,DELTORA,30
2014-10-28,ANANA,211
2014-10-28,ISLANDIA,69
2014-10-28,NEONIA,12
2014-10-28,SUYA,36
2014-10-28,SPOTLAND,16
2014-10-28,MALERIA,9
2014-10-29,ANNESIA,57
2014-10-29,PALOMBIA,18
2014-10-30,MALERIA,7
2014-10-30,TASIA,8
2014-10-30,SUYA,26
2014-10-30,SPOTLAND,6
2014-10-31,SUYA,31
2014-10-31,SAINT REPUBLIC,25
2014-10-31,ISLANDIA,48
2014-10-31,SPOTLAND,14
2016-10-24,ANANA,936
2016-10-24,CATAN,287
2016-10-24,NEVORUSS,686
2016-10-24,MONICA,96
2016-10-24,ANNEXIA,38
2014-10-31,SWINA,10
2014-11-01,NEONIA,7
2014-11-01,PALOMBIA,30
2014-11-01,SWINA,22
2014-11-02,ANNESIA,90
2014-11-03,ANNESIA,99
2014-11-03,MONICA,14
2014-11-05,FAKEISTAN,620
2014-11-04,ANANA,205
2014-11-04,SUYA,44
2014-11-04,MALADIA,24
2014-11-05,ANANA,131
2014-11-05,NEVORUSS,73
2016-10-24,FINESIA,46
2014-11-05,CATAN,7
2014-11-06,DELTORA,20
2014-11-06,NEVORUSS,86
2014-11-06,CATAN,7
2014-11-06,BOMBIA,5
2014-11-07,ANNESIA,67
2014-11-08,ISLANDIA,41
2014-11-09,SAINT REPUBLIC,29
2014-11-09,ISLANDIA,55
2014-11-09,SUYA,55
2014-11-09,MALADIA,20
2014-11-09,TAILAND,50
2014-11-09,MALERIA,8
2014-11-09,SWINA,17
2014-11-10,SAINT REPUBLIC,31
2016-10-25,CATAN,231
2014-11-10,NADIA,22
2014-11-11,FAKEISTAN,847
2014-11-11,ANANA,240
2014-11-11,NEVORUSS,135
2014-11-11,SODOR,21
2014-11-11,DELTORA,28
2014-11-11,MALISTAN,19
2014-11-12,NEVORUSS,73
2014-11-12,MALISTAN,13
2014-11-12,CATAN,6
2014-11-13,FAKEISTAN,669
2014-11-13,ISLANDIA,27
2014-11-13,MALADIA,18
2014-11-13,ANANA,131
2014-11-13,MALISTAN,13
2016-10-25,ANNEXIA,25
2014-11-13,TAILAND,45
2014-11-14,ANANA,147
2014-11-14,COSIA,7
2014-11-15,COMBIA,21
2014-11-15,MONICA,12
2014-11-15,COSIA,10
2014-11-16,ANANA,206
2014-11-16,NEVORUSS,128
2016-10-25,FINESIA,36
2014-11-16,MALISTAN,16
2014-11-16,CATAN,9
2014-11-17,ANNESIA,135
2014-11-17,COMBIA,26
2014-11-18,SWINA,19
2014-11-18,ISLANDIA,65
2014-11-18,SUYA,32
2014-11-18,SAINT REPUBLIC,23
2014-11-19,NEVORUSS,88
2014-11-19,COMBIA,15
2014-11-19,DELTORA,17
2014-11-20,TAILAND,58
2014-11-20,SAINT REPUBLIC,18
2014-11-20,SUYA,23
2014-11-20,TASIA,7
2014-11-20,SPOTLAND,11
2014-11-20,ISLANDIA,44
2014-11-20,SODOR,17
2016-10-26,SWINA,83
2016-10-26,SODOR,93
2016-10-26,NUMBANI,42
2016-10-26,SAINT REPUBLIC,106
2016-10-26,NADIA,99
2016-10-27,FAKEISTAN,5179
2016-10-28,FAKEISTAN,5212
2014-11-21,MALADIA,18
2014-11-21,SPOTLAND,11
2014-11-21,SUYA,25
2014-11-21,SODOR,20
2014-11-21,TAILAND,68
2014-11-21,SWINA,11
2014-11-21,ISLANDIA,47
2014-11-21,SAINT REPUBLIC,18
2014-11-22,SPOTLAND,11
2014-11-22,SWINA,10
2014-11-22,SODOR,21
2014-11-23,ANNESIA,140
2014-11-23,PANADA,12
2016-10-27,FINESIA,42
2016-10-27,TAILAND,1010
2016-10-27,CATAN,200
2016-10-27,NEVORUSS,518
2016-10-27,COMBIA,126
2014-11-24,BOMBIA,8
2014-11-24,NEVORUSS,154
2014-11-24,COSIA,11
2014-11-25,ANNESIA,146
2014-11-25,COSIA,9
2014-11-25,COMBIA,29
2014-11-25,DELTORA,25
2014-11-26,PALOMBIA,14
2014-11-26,ISLANDIA,39
2014-11-26,NADIA,10
2014-11-26,SAINT REPUBLIC,18
2014-11-26,TASIA,11
2014-11-27,SUYA,28
2014-11-27,MALERIA,13
2014-11-27,ISLANDIA,52
2014-11-27,TAILAND,90
2016-10-27,ANNEXIA,29
2014-11-27,MALADIA,19
2014-11-28,TAILAND,95
2014-11-28,SODOR,22
2014-11-28,ANANA,173
2014-11-28,MALADIA,20
2014-11-29,CATAN,8
2014-11-29,DELTORA,25
2014-11-29,ANNEXIA,2
2016-10-28,IRAMBIA,151
2016-10-28,ISLANDIA,392
2016-10-28,ANANA,714
2016-10-28,SODOR,106
2016-10-28,TASIA,79
2014-11-29,BOMBIA,4
2014-11-29,COSIA,9
2014-11-30,SUYA,39
2014-11-30,MALADIA,20
2014-11-30,MALERIA,15
2014-12-01,FAKEISTAN,1248
2014-12-01,ISLANDIA,95
2014-12-01,TAILAND,132
2014-12-01,TASIA,16
2014-12-01,SAINT REPUBLIC,35
2014-12-01,SODOR,25
2014-12-02,DELTORA,37
2014-12-02,COSIA,6
2014-12-02,ANNESIA,170
2014-12-02,CATAN,11
2014-12-02,BOMBIA,7
2014-12-03,PALOMBIA,20
2014-12-03,SWINA,12
2016-10-28,FINESIA,42
2014-12-03,NUMBANI,8
2014-12-04,ANNESIA,113
2014-12-04,PANADA,12
2014-12-05,FAKEISTAN,984
2014-12-05,TAILAND,116
2014-12-05,NEVORUSS,145
2014-12-05,ANNEXIA,4
2014-12-06,COSIA,6
2014-12-06,COMBIA,25
2014-12-06,ANNEXIA,4
2014-12-07,NEVORUSS,195
2014-12-07,CATAN,14
2016-10-29,MANIA,168
2014-12-07,BOMBIA,9
2014-08-17,PALOMBIA,7
2014-08-18,PALOMBIA,9
2014-08-20,SPOTLAND,7
2014-08-21,NEONIA,1
2014-08-24,NUMBANI,11
2014-08-27,DELTORA,16
2014-08-29,NEONIA,3
2014-08-31,MALISTAN,7
2014-09-03,SPOTLAND,6
2014-09-04,BOMBIA,3
2014-09-06,PALOMBIA,7
2014-09-07,DELTORA,16
2014-09-09,SPOTLAND,7
2014-09-14,DELTORA,22
2014-09-14,COSIA,9
2014-09-15,SPOTLAND,9
2014-09-18,DELTORA,11
2014-09-20,SPOTLAND,11
2014-09-20,NUMBANI,5
2014-09-28,ANNEXIA,5
2014-09-30,TASIA,11
2014-10-03,TAILAND,6
2014-10-04,PANADA,14
2014-10-06,COSIA,12
2014-10-08,NUMBANI,6
2014-10-09,BOMBIA,6
2014-10-09,PANADA,11
2014-10-15,SPOTLAND,12
2014-10-17,NEONIA,5
2014-10-17,PANADA,11
2014-10-18,MONICA,15
2014-10-19,SODOR,13
2014-10-24,NUMBANI,6
2014-10-26,TASIA,12
2014-10-29,NUMBANI,6
2014-10-30,NUMBANI,6
2014-11-02,PANADA,9
2014-11-03,COSIA,12
2014-11-07,PANADA,9
2014-11-08,SUYA,29
2014-11-10,SWINA,15
2014-11-11,TASIA,7
2014-11-14,MONICA,7
2014-11-14,ANNEXIA,4
2014-11-17,COSIA,12
2014-11-18,TASIA,10
2014-11-19,COSIA,7
2014-11-19,MONICA,11
2014-11-19,BOMBIA,5
2014-11-21,MALERIA,7
2014-11-21,TASIA,8
2014-11-24,DELTORA,27
2014-11-25,PANADA,13
2014-11-26,MALERIA,10
2014-11-26,SWINA,8
